project_id,project_name,solution_id,optimization_id,solution_status,created_at,construct_id,spec_id,spec_name,prompt_version,code_optimization_llm,num_specs_in_solution,num_runtime_measurements,metric_name,runtime_measurements,metric_count
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,5c5f675c-6e44-426b-aab9-bee23d36e9ca,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,c738a890-2717-44a3-95d4-13fa773b4dd1,23e2735c-4fe0-447d-84d0-79c872839bae,claude-v4-sonnet-2beca,no_llm_context,claude,1,10,runtime,"33.263264193199575,32.21286024199799,31.873514343053102,32.21358917513862,31.8723781760782,32.3152818698436,32.21101416973397,33.08874427108094,32.7002341770567,32.60613824427128",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,d6cea198-5ab6-4a92-8e7d-fad9e2734c4d,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,All,All,N/A,baseline,gpt-4-o,10,10,runtime,"30.51305993506685,29.563644126057625,29.611993432976305,30.412669208832085,29.57889486802742,29.733892456861213,29.770722632063553,29.26819625706412,29.01156960078515,29.881653907941654",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,7e838a96-7d31-43c9-9300-96980390022f,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,70e10078-1ac6-49ed-8b08-8a028e056946,6fe9aae8-cb71-48e6-a550-080cb5be7cdb,claude-v4-sonnet-6fdf5,contextual_prompting,claude,1,10,runtime,"27.77381301112473,26.18278541089967,26.28246694803238,26.44528091698885,26.399689204990864,26.248288484290242,26.417535928077996,26.892431575339288,26.357361294329166,26.26257390389219",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,b181f595-5a2c-4260-ad51-56b15519a0e8,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,02a215db-824f-436e-b295-7fc14e6ca880,650f8007-4db3-4c3d-869f-e2be7611f601,claude-v4-sonnet-37af0,mpco3,claude,1,10,runtime,"29.247573299333453,28.08512728800997,28.38125848490745,27.53836255054921,27.429585218429565,27.651790985371917,28.18160895584151,27.7769598509185,28.389684533234686,28.01771680591628",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,08eb0725-64e4-45c5-9ddb-9bfa78e4799f,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,02a215db-824f-436e-b295-7fc14e6ca880,f6f0c121-59cd-4651-aff0-5db8cbbc50ec,gemini-v25-pro-cb472,mpco,gemini,1,10,runtime,"29.44437776785344,27.200480496045202,27.458115600049496,27.80829662596807,28.05720259109512,27.706021490041167,27.59746956313029,27.392907755915076,27.000578938052058,27.577478260267526",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,6cdc019d-3f42-4f76-a179-962b691a2734,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,0b1b8eb5-769b-4510-a3f1-6e46af5fc0a1,cef290c1-700b-4ed5-8740-ee5af1ddf43b,claude-v4-sonnet-b878b,mpco2,claude,1,10,runtime,"29.595409756992012,28.086604246404022,27.99735083198175,28.206785684917122,27.425820253789425,27.99532078905031,28.239223218057305,27.915945098735392,27.806719337124377,27.608173527754843",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,71dbdb88-af24-47cb-bae0-9f05604c81e9,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,c738a890-2717-44a3-95d4-13fa773b4dd1,7a48c3c9-7e29-4ea2-9cf3-ea184ebf4d02,claude-v4-sonnet-10438,mpco2,claude,1,10,runtime,"30.502068902831525,28.26040155487135,27.714837382081896,27.7969988649711,27.67651653010398,28.225549618713558,27.833429032936692,27.72522111609578,27.88843816611916,28.299783042166382",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,6ee1bcec-30ff-4433-aa85-bd66af074a7d,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,0b1b8eb5-769b-4510-a3f1-6e46af5fc0a1,6b319218-001b-4d83-b4fb-831c25b9604c,claude-v4-sonnet-8e9df,mpco,claude,1,10,runtime,"28.74322210997343,27.36512753739953,27.385865554213524,27.605527489911765,27.327551955357194,27.768348657060415,27.763859503902495,28.031335971783847,27.30123450467363,27.889171061106026",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,37493d91-63a8-4d74-bac4-97234dc5afe5,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,70e10078-1ac6-49ed-8b08-8a028e056946,768cbe47-4dba-4831-8bc9-7a4e35717b6f,gpt-4-o-17b6f,no_project_context,gpt-4-o,1,10,runtime,"33.394660000223666,32.59197449404746,31.667538199573755,31.909344752319157,32.055885604117066,31.75996421277523,31.90191057464108,32.26521624810994,32.9504513097927,33.45029813889414",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,5070503b-5cb8-47cd-8f57-ca82a73f3fdc,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,1ddd1072-f4b5-483c-9604-389f7bb6bd00,7521b84c-f156-40f8-8673-f0d0b38de383,gpt-4-o-de383,contextual_prompting,gpt-4-o,1,10,runtime,"33.58973510470241,33.18555460404605,32.526954166125506,32.333352799061686,32.49909882200882,32.4623129456304,32.67514696670696,32.83058289112523,32.24731427477673,32.302980203181505",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,7e58901a-962e-4dfc-b3b9-37329cf89fe7,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,1ddd1072-f4b5-483c-9604-389f7bb6bd00,39a8de41-925b-4eaf-aec8-d40d9ce5ae03,gpt-4-o-5ae03,no_task_context,gpt-4-o,1,10,runtime,"34.39307751925662,32.440607828088105,32.721832821611315,33.42201002500951,33.39004521863535,33.33654833724722,32.842372528743,32.528894959017634,32.109078906010836,32.71991652296856",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,4fc800bb-e55a-4250-a76f-adcbb6351408,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,70e10078-1ac6-49ed-8b08-8a028e056946,2013cf74-27ac-4faf-be81-1e7e83d37374,gpt-4-o-37374,few_shot,gpt-4-o,1,10,runtime,"33.25859688129276,32.230601678136736,32.06039420282468,31.4972961707972,31.4320277441293,31.85946410195902,31.609312447719276,32.131427900865674,32.5111636868678,32.481889485847205",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,56e3d853-d518-4b21-93f4-c850fb68886f,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,0b1b8eb5-769b-4510-a3f1-6e46af5fc0a1,da000d3d-cfef-484e-8a0a-58626ae0093c,gpt-4-o-0093c,no_project_context,gpt-4-o,1,10,runtime,"33.17567034019157,31.296698060818017,31.47378435265273,32.063812316861004,31.573805660009384,30.995007487013936,31.612554486840963,31.51362866582349,31.49787799688056,31.79177855886519",10
0126bc6f-57c0-4148-bd3e-3d30ea7c6099,Langflow,0ada797d-1542-407f-96c1-ba70f9e5cc65,24f078c2-2c71-42ec-82e8-049edca0fa20,SolutionStatusEnum.success,Unknown,0b1b8eb5-769b-4510-a3f1-6e46af5fc0a1,371e0e6b-3b7a-4c83-855c-3747aa469a91,gpt-4-o-69a91,few_shot,gpt-4-o,1,10,runtime,"33.004144123755395,32.07877306267619,31.9058563769795,32.095965723041445,32.03726125182584,31.842887905891985,31.687908002641052,30.979252470191568,31.33377765584737,31.502366707194597",10
