project_id,project_name,solution_id,optimization_id,solution_status,created_at,construct_id,spec_id,spec_name,prompt_version,code_optimization_llm,num_specs_in_solution,num_runtime_measurements,metric_name,runtime_measurements,metric_count
9f8f7777-f359-4f39-bfa8-6a0f4ebe473c,faster-whisper,934f99ee-5b21-4157-ba31-60bbf4a376a3,af6c8049-cf3d-4379-975f-7f4247580188,SolutionStatusEnum.success,Unknown,9349e528-2497-4e0a-b458-7011637e63c4,261af5d4-ea74-458c-8207-9d674d7636a2,gpt-4-o-636a2,few_shot,gpt-4-o,1,10,runtime,"524.8365756650455,503.54898049589247,453.7805262701586,508.28145840903744,435.1712368587032,525.0604779268615,479.9059594189748,479.46980986976996,452.7964949538,496.94596789684147",10
9f8f7777-f359-4f39-bfa8-6a0f4ebe473c,faster-whisper,3e931384-712f-4486-8968-418a0867fea4,af6c8049-cf3d-4379-975f-7f4247580188,SolutionStatusEnum.success,Unknown,bcf9e00a-ff69-470d-bea1-8bee3d6d6b9c,afe369cf-263d-4dbc-8d0f-885b9478affb,claude-v4-sonnet-c83b3,contextual_prompting,claude,1,1,runtime,511.73227745480835,1
9f8f7777-f359-4f39-bfa8-6a0f4ebe473c,faster-whisper,6f03d6bc-5322-4741-8c12-c84db6a6b46b,af6c8049-cf3d-4379-975f-7f4247580188,SolutionStatusEnum.success,Unknown,9349e528-2497-4e0a-b458-7011637e63c4,d20b552e-82a6-4a35-a083-a97532291646,claude-v4-sonnet-2cc65,mpco,claude,1,1,runtime,496.7889165170491,1
9f8f7777-f359-4f39-bfa8-6a0f4ebe473c,faster-whisper,4c2e3236-737f-4049-b398-36ef022d35cd,af6c8049-cf3d-4379-975f-7f4247580188,SolutionStatusEnum.success,Unknown,a5261e68-b7f3-4470-a1b6-9732f7da14df,71b0fb1e-f960-41a3-b7bd-7b28b6b44d79,gpt-4-o-44d79,chain_of_thought,gpt-4-o,1,10,runtime,"470.2929980410263,508.8465923606418,472.90538773918524,472.2347382050939,466.0815587420948,502.0640308861621,455.39306862372905,486.3199393879622,450.44524034298956,494.33221688494086",10
9f8f7777-f359-4f39-bfa8-6a0f4ebe473c,faster-whisper,fad78421-1b92-4150-908c-13a283873498,af6c8049-cf3d-4379-975f-7f4247580188,SolutionStatusEnum.success,Unknown,a5261e68-b7f3-4470-a1b6-9732f7da14df,8e479fd8-23d6-4f56-ad90-290edfe0d956,gpt-4-o-0d956,few_shot,gpt-4-o,1,10,runtime,"478.5953729841858,425.6391899008304,449.73526779422536,464.0454594469629,483.9025567318313,503.7543472861871,477.73388323467225,513.0237463149242,496.9993571760133,458.1044339253567",10
9f8f7777-f359-4f39-bfa8-6a0f4ebe473c,faster-whisper,8b476ae9-7af0-4629-8691-8dcb2cea8a12,af6c8049-cf3d-4379-975f-7f4247580188,SolutionStatusEnum.success,Unknown,41460976-e924-4109-ac9b-a71129e6aa38,61970695-757f-46a0-af80-754bd97f4549,gpt-4-o-f4549,mpco,gpt-4-o,1,10,runtime,"358.00601244799327,418.1934990090085,439.15143038495444,389.8274232619442,388.4249097990105,469.6827709779609,447.7398432960035,444.9425404169597,495.91819661599584,465.39304605696816",10
9f8f7777-f359-4f39-bfa8-6a0f4ebe473c,faster-whisper,55ee98bf-f13b-42d2-a8d5-c75598c3e3c4,af6c8049-cf3d-4379-975f-7f4247580188,SolutionStatusEnum.success,Unknown,cc21f755-de9c-4030-a3c7-f9c2cd1e62d7,e620c6f2-258a-4a37-94e6-0cfd2584efbf,gpt-4-o-4efbf,baseline,gpt-4-o,1,10,runtime,"507.10869487700984,439.9227753049927,499.17600754997693,521.4313134499826,490.9909421330085,526.2727959819604,524.1340744020417,449.76417180802673,461.6330902740592,473.5588917080313",10
9f8f7777-f359-4f39-bfa8-6a0f4ebe473c,faster-whisper,ff636f71-3391-42f8-9b09-e35555405e08,af6c8049-cf3d-4379-975f-7f4247580188,SolutionStatusEnum.success,Unknown,162ae28a-ed0b-429f-80a8-7a4a98fe9b50,7e4f0021-fd29-4ff3-83e8-a7d615444890,gpt-4-o-44890,simplified,gpt-4-o,1,10,runtime,"474.1413485269295,422.9291005990235,472.3910278209951,480.39217045903206,449.32739066996146,530.5452843980165,491.7261681369273,488.5002095240634,468.72046097007114,463.1079119250644",10
9f8f7777-f359-4f39-bfa8-6a0f4ebe473c,faster-whisper,1415c806-0d6a-48b1-9b80-a877ab6d53db,af6c8049-cf3d-4379-975f-7f4247580188,SolutionStatusEnum.success,Unknown,41460976-e924-4109-ac9b-a71129e6aa38,b75a1398-3760-4b98-8a96-09f3115c357a,claude-v4-sonnet-38ef0,no_llm_context,claude,1,1,runtime,446.85195932071656,1
9f8f7777-f359-4f39-bfa8-6a0f4ebe473c,faster-whisper,8bd45e91-818a-480f-b8a2-ef29fffe2840,af6c8049-cf3d-4379-975f-7f4247580188,SolutionStatusEnum.success,Unknown,a5261e68-b7f3-4470-a1b6-9732f7da14df,cf375217-4906-4756-a420-ae63bc785840,claude-v4-sonnet-3a299,no_task_context,claude,1,1,runtime,454.1308843488805,1
